key;activa;alquilada;totemKey
153;TRUE;FALSE;5
154;TRUE;FALSE;6
155;TRUE;FALSE;7
156;TRUE;FALSE;8
157;TRUE;FALSE;9
158;TRUE;FALSE;10
159;TRUE;FALSE;11
160;TRUE;FALSE;12
161;TRUE;FALSE;13
162;TRUE;FALSE;14
163;TRUE;FALSE;15
164;TRUE;FALSE;16
165;TRUE;FALSE;17
166;TRUE;FALSE;18
167;TRUE;FALSE;19
168;TRUE;FALSE;20
169;TRUE;FALSE;21
170;TRUE;FALSE;22
171;TRUE;FALSE;23
172;TRUE;FALSE;24
173;TRUE;FALSE;25
174;TRUE;FALSE;26
175;TRUE;FALSE;27
176;TRUE;FALSE;28
177;TRUE;FALSE;29
178;TRUE;FALSE;30
179;TRUE;FALSE;1
180;TRUE;FALSE;2
181;TRUE;FALSE;3
182;TRUE;FALSE;4
183;TRUE;FALSE;5
184;TRUE;FALSE;6
185;TRUE;FALSE;7
186;TRUE;FALSE;8
187;TRUE;FALSE;9
188;TRUE;FALSE;10
189;TRUE;FALSE;11
190;TRUE;FALSE;12
191;TRUE;FALSE;13
192;TRUE;FALSE;14
193;TRUE;FALSE;15
194;TRUE;FALSE;16
195;TRUE;FALSE;17
196;TRUE;FALSE;18
197;TRUE;FALSE;19
198;TRUE;FALSE;20
199;TRUE;FALSE;21
200;TRUE;FALSE;22
201;TRUE;FALSE;23
202;TRUE;FALSE;24
203;TRUE;FALSE;25
204;TRUE;FALSE;26
205;TRUE;FALSE;27
206;TRUE;FALSE;28
207;TRUE;FALSE;29
208;TRUE;FALSE;30
209;TRUE;FALSE;1
210;TRUE;FALSE;2
211;TRUE;FALSE;3
212;TRUE;FALSE;4
213;TRUE;FALSE;5
214;TRUE;FALSE;6
215;TRUE;FALSE;7
216;TRUE;FALSE;8
217;TRUE;FALSE;9
218;TRUE;FALSE;10
219;TRUE;FALSE;11
220;TRUE;FALSE;12
221;TRUE;FALSE;13
222;TRUE;FALSE;14
223;TRUE;FALSE;15
224;TRUE;FALSE;16
225;TRUE;FALSE;17
226;TRUE;FALSE;18
227;TRUE;FALSE;19
228;TRUE;FALSE;20
229;TRUE;FALSE;21
230;TRUE;FALSE;22
231;TRUE;FALSE;23
232;TRUE;FALSE;24
233;TRUE;FALSE;25
234;TRUE;FALSE;26
235;TRUE;FALSE;27
236;TRUE;FALSE;28
237;TRUE;FALSE;29
238;TRUE;FALSE;30
239;TRUE;FALSE;1
240;TRUE;FALSE;2
241;TRUE;FALSE;3
242;TRUE;FALSE;4
243;TRUE;FALSE;5
244;TRUE;FALSE;6
245;TRUE;FALSE;7
246;TRUE;FALSE;8
247;TRUE;FALSE;9
248;TRUE;FALSE;10
249;TRUE;FALSE;11
250;TRUE;FALSE;12
251;TRUE;FALSE;13
252;TRUE;FALSE;14
253;TRUE;FALSE;15
254;TRUE;FALSE;16
255;TRUE;FALSE;17
256;TRUE;FALSE;18
257;TRUE;FALSE;19
258;TRUE;FALSE;20
259;TRUE;FALSE;21
260;TRUE;FALSE;22
261;TRUE;FALSE;23
262;TRUE;FALSE;24
263;TRUE;FALSE;25
264;TRUE;FALSE;26
265;TRUE;FALSE;27
266;TRUE;FALSE;28
267;TRUE;FALSE;29
268;TRUE;FALSE;30
269;TRUE;FALSE;1
270;TRUE;FALSE;2
271;TRUE;FALSE;3
272;TRUE;FALSE;4
273;TRUE;FALSE;5
274;TRUE;FALSE;6
275;TRUE;FALSE;7
276;TRUE;FALSE;8
277;TRUE;FALSE;9
278;TRUE;FALSE;10
279;TRUE;FALSE;11
280;TRUE;FALSE;12
281;TRUE;FALSE;13
282;TRUE;FALSE;14
283;TRUE;FALSE;15
284;TRUE;FALSE;16
285;TRUE;FALSE;17
286;TRUE;FALSE;18
287;TRUE;FALSE;19
288;TRUE;FALSE;20
289;TRUE;FALSE;21
290;TRUE;FALSE;22
291;TRUE;FALSE;23
292;TRUE;FALSE;24
293;TRUE;FALSE;25
294;TRUE;FALSE;26
295;TRUE;FALSE;27
296;TRUE;FALSE;28
297;TRUE;FALSE;29
298;TRUE;FALSE;30
299;TRUE;FALSE;1
300;TRUE;FALSE;2
